Operation_ID,Operation_Name,Operation_Start_DateTime,Operation_Priority,Operation_Nature,Operation_Habitat,Operation_Expenditure,Friendlies_Contact_ID,Operation_Location_Country,Operation_Location_City,Operation_Location_X,Operation_Location_Y
OP001,OP-TITAN-001,2024-01-03 11:00:00,9,Reconnaissance,Grassland,48667272.08,FC4801,Spain,Madrid,-64.803223,-35.48753
OP002,OP-ONYX-002,2024-01-05 18:00:00,2,Spying,Marine,30660098.94,FC9359,USA,Los Angeles,-64.642728,143.368448
OP003,OP-IRON-003,2024-01-07 13:00:00,7,Sneak,Grassland,26034653.46,FC1501,Kenya,Nairobi,17.329074,16.515603
OP004,OP-ONYX-004,2024-01-10 01:00:00,1,Surgical Strike,High Altitude,27680927.03,FC7028,Australia,Sydney,-61.577752,30.888096
OP005,OP-TITAN-005,2024-01-12 00:00:00,3,Resupply,Grassland,26417492.25,FC9709,Kenya,Mombasa,48.860982,-15.580726
OP006,OP-PHOENIX-006,2024-01-14 02:00:00,10,Reconnaissance,Grassland,42783124.21,FC5008,Greece,Athens,-21.639025,15.738713
OP007,OP-COPPER-007,2024-01-15 14:00:00,6,Infiltration,Grassland,3867651.17,FC3404,Norway,Bergen,28.321693,-80.305583
OP008,OP-COPPER-008,2024-01-17 06:00:00,6,Resupply,Swamp,27438008.16,FC9832,Brazil,Fortaleza,10.887262,-123.947493
OP009,OP-FALCON-009,2024-01-19 22:00:00,4,Infiltration,Swamp,1322672.38,FC7680,Vietnam,Ho Chi Minh City,31.543805,-105.362015
OP010,OP-COPPER-010,2024-01-22 02:00:00,8,Reinforcements,High Altitude,12996864.21,FC1186,Australia,Melbourne,-60.355106,-23.670204
OP011,OP-COPPER-011,2024-01-23 13:00:00,6,Infiltration,Rainforest,45393953.12,FC3236,Vietnam,Hanoi,38.158001,-64.487868
OP012,OP-PHOENIX-012,2024-01-25 13:00:00,10,Search and Rescue,Mountain,39626851.01,FC2269,Qatar,Doha,69.36044,-124.143074
OP013,OP-FALCON-013,2024-01-28 02:00:00,10,Perimeter Hold,Urban,596849.08,FC6783,Finland,Espoo,37.52456,144.741291
OP014,OP-TITAN-014,2024-01-29 16:00:00,5,Surgical Strike,High Altitude,15447500.65,FC9310,Qatar,Al Rayyan,-4.66017,-26.179604
OP015,OP-FALCON-015,2024-01-31 16:00:00,2,Search and Rescue,Rainforest,48038332.9,FC3550,Norway,Bergen,-35.100731,-138.336384
OP016,OP-TITAN-016,2024-02-03 02:00:00,3,Resupply,Tundra,31363778.57,FC2667,Canada,Vancouver,-46.574581,-53.504913
OP017,OP-IRON-017,2024-02-04 06:00:00,10,Surgical Strike,Rainforest,29619782.91,FC6511,Egypt,Giza,42.418845,-98.282187
OP018,OP-EMBER-018,2024-02-06 12:00:00,1,Escort,Jungle,27883689.69,FC8094,Brazil,Fortaleza,35.82504,-77.359643
OP019,OP-ONYX-019,2024-02-08 14:00:00,8,Escort,Rainforest,49780364.77,FC1893,Brazil,Brasília,-19.576329,90.905003
OP020,OP-TITAN-020,2024-02-10 23:00:00,3,Resupply,Rainforest,5051436.35,FC7406,Turkey,Izmir,-13.031471,-53.772672
OP021,OP-EMBER-021,2024-02-12 08:00:00,2,Perimeter Hold,Jungle,24630301.46,FC7061,USA,Los Angeles,63.832557,-88.283195
OP022,OP-FALCON-022,2024-02-14 22:00:00,1,Defend Perimeter,Tundra,34940096.26,FC6034,UAE,Sharjah,-57.554308,-86.775392
OP023,OP-TITAN-023,2024-02-16 06:00:00,10,Search and Rescue,Grassland,14930650.63,FC5187,France,Bordeaux,-67.928169,60.192285
OP024,OP-EMBER-024,2024-02-18 19:00:00,1,Defend Perimeter,Grassland,44698623.41,FC9952,Turkey,Ankara,-23.708428,-52.065552
OP025,OP-COPPER-025,2024-02-21 01:00:00,4,Infiltration,Marine,32991180.16,FC8805,Germany,Munich,-2.187627,-112.854854
OP026,OP-STEEL-026,2024-02-22 19:00:00,5,Defend Perimeter,Desert,34304021.04,FC5437,Canada,Ottawa,-38.011942,-29.036332
OP027,OP-PHOENIX-027,2024-02-25 02:00:00,4,Exfiltration,Marine,25804205.02,FC3012,Indonesia,Surabaya,-25.091647,-3.547919
OP028,OP-IRON-028,2024-02-26 15:00:00,3,Reconnaissance,Urban,17645720.65,FC3427,Oman,Muscat,-33.511872,115.276452
OP029,OP-COPPER-029,2024-02-28 08:00:00,3,Resupply,Marine,7048562.58,FC3519,Sweden,Stockholm,0.157346,143.317232
OP030,OP-STEEL-030,2024-03-01 23:00:00,1,Exfiltration,Rainforest,48839143.79,FC3524,Italy,Milan,29.298092,-156.001717
OP031,OP-FALCON-031,2024-03-03 10:00:00,6,Reinforcements,Jungle,24864511.49,FC3736,UAE,Dubai,-24.155036,19.600336
OP032,OP-EMBER-032,2024-03-05 23:00:00,4,Infiltration,Grassland,49171805.02,FC3566,Norway,Oslo,12.823023,163.66421
OP033,OP-COPPER-033,2024-03-07 10:00:00,2,Escort,Urban,47063321.07,FC1782,Sri Lanka,Colombo,52.191049,-70.737677
OP034,OP-ONYX-034,2024-03-09 21:00:00,9,Spying,Mountain,48081123.88,FC2905,Sweden,Stockholm,-13.551681,116.180921
OP035,OP-STEEL-035,2024-03-11 17:00:00,3,Search and Rescue,Desert,31424038.28,FC6547,Singapore,Singapore,-58.932431,-172.313596
OP036,OP-STEEL-036,2024-03-13 15:00:00,5,Anti Terrorism,High Altitude,48385627.37,FC8429,India,Chennai,5.019607,152.796157
OP037,OP-ONYX-037,2024-03-16 01:00:00,1,Anti Terrorism,Rainforest,6742668.51,FC9492,UK,Liverpool,-20.18576,57.452509
OP038,OP-EMBER-038,2024-03-17 12:00:00,10,Resupply,Desert,6224245.29,FC8575,Sweden,Gothenburg,34.881313,31.247311
OP039,OP-EMBER-039,2024-03-20 02:00:00,2,Defend Perimeter,Urban,15990666.04,FC9404,USA,Dallas,-7.796966,-114.127596
OP040,OP-EMBER-040,2024-03-21 12:00:00,3,Exfiltration,Swamp,44159520.91,FC1964,Malaysia,Kuala Lumpur,-7.309795,141.877902
OP041,OP-EMBER-041,2024-03-23 10:00:00,2,Surgical Strike,Jungle,37563532.25,FC8062,Germany,Stuttgart,-1.279359,-133.94182
OP042,OP-COPPER-042,2024-03-25 17:00:00,5,Reconnaissance,Rainforest,29900689.84,FC2491,South Africa,Durban,-19.866157,-69.156898
OP043,OP-EMBER-043,2024-03-27 23:00:00,4,Defend Perimeter,Mountain,39830113.38,FC5036,Singapore,Singapore,28.854226,63.866097
OP044,OP-EMBER-044,2024-03-29 14:00:00,1,Search and Rescue,Rainforest,10639982.39,FC7797,Brazil,Rio de Janeiro,73.729993,-167.498424
OP045,OP-EMBER-045,2024-04-01 02:00:00,6,Anti Terrorism,Mountain,5566225.89,FC9113,France,Marseille,5.071763,-122.492634
OP046,OP-STEEL-046,2024-04-02 10:00:00,7,Escort,Grassland,25998908.54,FC2858,Qatar,Al Rayyan,29.716942,156.947271
OP047,OP-COPPER-047,2024-04-04 17:00:00,8,Exfiltration,Grassland,33889796.31,FC1136,Spain,Valencia,4.907169,-144.097989
OP048,OP-COPPER-048,2024-04-06 07:00:00,7,Resupply,Grassland,30659293.63,FC7165,Sri Lanka,Galle,26.027263,-22.966533
OP049,OP-TITAN-049,2024-04-08 22:00:00,4,Reconnaissance,Tundra,12581200.7,FC9552,Finland,Espoo,-73.739497,-160.58035
OP050,OP-IRON-050,2024-04-10 09:00:00,4,Surgical Strike,Tundra,13032005.53,FC8694,Russia,Kazan,-1.482182,104.159175
OP051,OP-COPPER-051,2024-04-12 18:00:00,4,Defend Perimeter,Jungle,12972034.4,FC4143,Vietnam,Ho Chi Minh City,-11.196602,15.547112
OP052,OP-ONYX-052,2024-04-14 17:00:00,10,Sneak,Jungle,13310562.91,FC9572,UK,Leeds,67.773127,92.670708
OP053,OP-PHOENIX-053,2024-04-16 14:00:00,7,Exfiltration,Jungle,23639449.26,FC9792,Indonesia,Surabaya,26.892042,-34.293527
OP054,OP-TITAN-054,2024-04-18 11:00:00,10,Spying,Jungle,173086.48,FC1573,Japan,Tokyo,9.310311,-137.543608
OP055,OP-IRON-055,2024-04-20 11:00:00,10,Infiltration,Tundra,44681354.49,FC9815,UAE,Abu Dhabi,-28.002746,-10.30157
OP056,OP-EMBER-056,2024-04-22 22:00:00,2,Perimeter Hold,Low Altitude,18894422.08,FC6618,China,Shenzhen,16.986439,-132.214225
OP057,OP-PHOENIX-057,2024-04-24 15:00:00,4,Sneak,Rainforest,34036029.51,FC8598,Sri Lanka,Colombo,21.377382,137.668935
OP058,OP-FALCON-058,2024-04-26 11:00:00,3,Anti Terrorism,Swamp,45509403.97,FC4761,UK,Leeds,76.17017,-28.55331
OP059,OP-STEEL-059,2024-04-28 10:00:00,9,Surgical Strike,Marine,5806154.01,FC6202,Australia,Adelaide,-73.506579,-177.858031
OP060,OP-ONYX-060,2024-04-30 18:00:00,8,Defend Perimeter,Jungle,10816116.82,FC8899,Japan,Tokyo,-37.132652,-4.529233
OP061,OP-IRON-061,2024-05-02 12:00:00,6,Anti Terrorism,Marine,10815322.3,FC8135,Qatar,Al Rayyan,25.209226,113.622017
OP062,OP-FALCON-062,2024-05-04 17:00:00,9,Sneak,Swamp,48225988.64,FC7098,UAE,Dubai,-56.050368,127.109679
OP063,OP-EMBER-063,2024-05-06 19:00:00,4,Perimeter Hold,Marine,5159099.16,FC9874,Norway,Bergen,34.180885,-35.349752
OP064,OP-COPPER-064,2024-05-09 01:00:00,10,Spying,High Altitude,27000868.63,FC7546,Greece,Thessaloniki,-72.33801,-1.615616
OP065,OP-STEEL-065,2024-05-10 10:00:00,2,Infiltration,High Altitude,15062532.11,FC5228,USA,Miami,-16.848277,131.698301
OP066,OP-ONYX-066,2024-05-12 10:00:00,6,Sneak,Desert,32469626.49,FC8955,UK,Manchester,41.308501,-23.261895
OP067,OP-STEEL-067,2024-05-14 06:00:00,4,Surgical Strike,Mountain,28956076.43,FC2913,Kenya,Kisumu,43.341726,-95.950295
OP068,OP-PHOENIX-068,2024-05-16 15:00:00,1,Search and Rescue,Marine,24180158.43,FC1070,USA,Seattle,-0.9912,-164.848838
OP069,OP-COPPER-069,2024-05-18 06:00:00,4,Sneak,Jungle,24380178.21,FC3336,Singapore,Singapore,-0.932217,-148.698262
OP070,OP-EMBER-070,2024-05-20 12:00:00,7,Defend Perimeter,Jungle,49138857.84,FC1054,Kenya,Nairobi,-14.900813,-35.431373
OP071,OP-COPPER-071,2024-05-22 11:00:00,2,Spying,Desert,12751438.57,FC9635,South Africa,Port Elizabeth,21.2659,-140.385789
OP072,OP-PHOENIX-072,2024-05-24 12:00:00,7,Reinforcements,Grassland,8404692.82,FC5749,Canada,Ottawa,20.382949,33.68052
OP073,OP-IRON-073,2024-05-26 13:00:00,5,Defend Perimeter,High Altitude,31463555.62,FC8800,South Africa,Cape Town,-3.49672,-63.016833
OP074,OP-TITAN-074,2024-05-29 02:00:00,5,Sneak,Desert,38983785.61,FC2330,Brazil,São Paulo,-31.305439,-120.08056
OP075,OP-STEEL-075,2024-05-30 13:00:00,9,Resupply,Grassland,1983023.22,FC3622,South Korea,Seoul,35.780746,12.244997
OP076,OP-COPPER-076,2024-06-01 21:00:00,6,Defend Perimeter,Swamp,36409849.2,FC4373,Sri Lanka,Kandy,32.236088,78.503243
OP077,OP-COPPER-077,2024-06-03 06:00:00,1,Exfiltration,Swamp,16418907.9,FC3820,Canada,Toronto,-13.756641,-117.382871
OP078,OP-TITAN-078,2024-06-05 07:00:00,4,Escort,Low Altitude,25820186.12,FC2993,India,Mumbai,-45.823037,38.717131
OP079,OP-TITAN-079,2024-06-07 21:00:00,3,Perimeter Hold,High Altitude,26535624.66,FC7956,Australia,Melbourne,-50.051512,-8.067309
OP080,OP-STEEL-080,2024-06-09 14:00:00,8,Resupply,Urban,33208463.18,FC6032,Japan,Osaka,-32.339259,-156.121366
OP081,OP-IRON-081,2024-06-11 15:00:00,10,Escort,Grassland,4528447.6,FC7233,China,Guangzhou,9.042919,-64.350991
OP082,OP-TITAN-082,2024-06-13 08:00:00,6,Defend Perimeter,Mountain,6513482.21,FC6433,Vietnam,Hanoi,-28.952982,-177.140152
OP083,OP-COPPER-083,2024-06-15 11:00:00,2,Exfiltration,Jungle,28528065.17,FC2812,China,Shenzhen,-18.444392,87.333493
OP084,OP-ONYX-084,2024-06-17 21:00:00,10,Infiltration,High Altitude,15721674.0,FC1220,Oman,Muscat,-23.972451,56.260668
OP085,OP-IRON-085,2024-06-19 12:00:00,4,Infiltration,Desert,19116265.58,FC3679,China,Beijing,-70.518386,-168.033492
OP086,OP-FALCON-086,2024-06-22 01:00:00,1,Escort,Swamp,40318454.75,FC1525,Germany,Munich,49.474131,95.799253
OP087,OP-EMBER-087,2024-06-23 22:00:00,7,Sneak,Grassland,11491452.93,FC1324,Greece,Athens,59.898666,119.426868
OP088,OP-COPPER-088,2024-06-25 06:00:00,1,Resupply,Marine,41419997.36,FC7040,Brazil,Salvador,7.342984,132.582965
OP089,OP-IRON-089,2024-06-27 21:00:00,9,Infiltration,Grassland,24640706.29,FC8448,UK,Manchester,15.453049,-25.024284
OP090,OP-EMBER-090,2024-06-30 01:00:00,8,Reinforcements,Desert,6037616.8,FC4234,Vietnam,Ho Chi Minh City,-50.311347,-79.455231
OP091,OP-EMBER-091,2024-07-01 22:00:00,6,Surgical Strike,Marine,38833671.42,FC9465,Indonesia,Surabaya,-61.788702,81.243831
OP092,OP-EMBER-092,2024-07-04 01:00:00,4,Search and Rescue,Low Altitude,34651887.53,FC9175,Kenya,Kisumu,41.445352,-80.704789
OP093,OP-TITAN-093,2024-07-05 12:00:00,7,Surgical Strike,Grassland,47707225.55,FC4207,USA,New York,33.786467,77.34568
OP094,OP-EMBER-094,2024-07-08 01:00:00,2,Resupply,Grassland,11515435.22,FC9967,Sri Lanka,Galle,2.644497,-67.260367
OP095,OP-IRON-095,2024-07-09 20:00:00,10,Reinforcements,Desert,34574238.06,FC3569,Norway,Oslo,61.3861,-57.486149
OP096,OP-TITAN-096,2024-07-11 15:00:00,1,Reconnaissance,Mountain,34244142.52,FC3153,Vietnam,Hanoi,-30.222352,85.725364
OP097,OP-EMBER-097,2024-07-14 01:00:00,5,Reinforcements,Jungle,26729136.57,FC8683,Finland,Tampere,44.89976,12.473596
OP098,OP-ONYX-098,2024-07-16 02:00:00,3,Search and Rescue,Marine,31087269.22,FC4346,South Africa,Johannesburg,-0.176915,63.180769
OP099,OP-IRON-099,2024-07-17 23:00:00,9,Sneak,Rainforest,40168486.26,FC1108,UAE,Abu Dhabi,-57.486684,-49.727262
OP100,OP-STEEL-100,2024-07-19 12:00:00,4,Perimeter Hold,Grassland,1035675.93,FC5908,Germany,Hamburg,-25.466804,127.646289
OP101,OP-FALCON-101,2024-07-21 23:00:00,5,Sneak,Marine,35836060.35,FC5339,Finland,Helsinki,-37.768779,126.905852
OP102,OP-EMBER-102,2024-07-23 11:00:00,10,Reconnaissance,Desert,13279663.22,FC7244,Greece,Athens,61.254022,74.844754
OP103,OP-FALCON-103,2024-07-25 07:00:00,8,Infiltration,Swamp,3825734.78,FC1160,Turkey,Ankara,6.819952,91.103691
OP104,OP-FALCON-104,2024-07-28 01:00:00,1,Perimeter Hold,Desert,17619159.53,FC7104,Malaysia,Johor Bahru,1.342914,34.752507
OP105,OP-IRON-105,2024-07-29 06:00:00,9,Reinforcements,Jungle,14111142.25,FC7685,Indonesia,Surabaya,-66.131357,-151.77335
OP106,OP-ONYX-106,2024-08-01 02:00:00,1,Surgical Strike,Desert,1189879.16,FC2405,Greece,Thessaloniki,-56.154986,-97.75478
OP107,OP-EMBER-107,2024-08-02 14:00:00,4,Resupply,Grassland,43159008.9,FC1425,Japan,Osaka,19.223772,81.288352
OP108,OP-STEEL-108,2024-08-05 00:00:00,3,Reinforcements,Jungle,28505408.15,FC2585,Oman,Sohar,-22.948783,76.812054
OP109,OP-EMBER-109,2024-08-07 00:00:00,4,Reinforcements,Swamp,45704007.18,FC7099,Oman,Muscat,10.471621,154.822869
OP110,OP-STEEL-110,2024-08-08 14:00:00,5,Resupply,Rainforest,34437913.95,FC5651,Norway,Trondheim,57.843694,-142.086027
OP111,OP-STEEL-111,2024-08-10 14:00:00,5,Anti Terrorism,Urban,35644966.96,FC2478,Kenya,Mombasa,11.827953,-57.538039
OP112,OP-IRON-112,2024-08-12 21:00:00,2,Escort,Urban,25944697.29,FC9562,Canada,Montreal,20.015832,-129.083361
OP113,OP-IRON-113,2024-08-14 20:00:00,9,Sneak,Grassland,44664201.97,FC7857,UAE,Sharjah,-23.490306,-63.220199
OP114,OP-IRON-114,2024-08-16 09:00:00,9,Defend Perimeter,Grassland,12720014.03,FC8667,Sri Lanka,Kandy,76.52045,48.294143
OP115,OP-FALCON-115,2024-08-18 15:00:00,7,Surgical Strike,Urban,27795744.8,FC4430,Australia,Sydney,-7.97492,80.010212
OP116,OP-PHOENIX-116,2024-08-20 23:00:00,8,Spying,Rainforest,12617322.98,FC5161,Indonesia,Medan,51.158119,73.593684
OP117,OP-IRON-117,2024-08-22 13:00:00,7,Spying,Jungle,29004775.19,FC7382,Kenya,Nairobi,-61.423267,79.801389
OP118,OP-STEEL-118,2024-08-24 19:00:00,10,Search and Rescue,Mountain,12968655.23,FC8312,France,Bordeaux,-53.572893,-120.756752
OP119,OP-EMBER-119,2024-08-26 19:00:00,8,Sneak,Low Altitude,4218307.19,FC6868,Finland,Tampere,-48.544096,-125.530466
OP120,OP-ONYX-120,2024-08-28 20:00:00,10,Infiltration,Swamp,21874145.03,FC2793,Sweden,Stockholm,26.68864,40.856325
OP121,OP-PHOENIX-121,2024-08-30 19:00:00,2,Perimeter Hold,Jungle,40402782.67,FC4307,India,Kolkata,-46.097182,-178.510414
OP122,OP-ONYX-122,2024-09-02 00:00:00,6,Perimeter Hold,Grassland,14246315.16,FC8156,Greece,Thessaloniki,-45.920913,38.170254
OP123,OP-TITAN-123,2024-09-03 19:00:00,3,Sneak,Low Altitude,47820379.0,FC1165,Norway,Bergen,69.446792,33.428711
OP124,OP-ONYX-124,2024-09-05 10:00:00,5,Perimeter Hold,Desert,20056005.38,FC9516,Norway,Bergen,-50.342979,-113.187701
OP125,OP-ONYX-125,2024-09-08 00:00:00,8,Spying,High Altitude,47457822.71,FC3139,Italy,Naples,-68.183728,-82.958795
OP126,OP-STEEL-126,2024-09-10 00:00:00,7,Perimeter Hold,Mountain,8539089.95,FC6009,Malaysia,George Town,-63.781544,119.681868
OP127,OP-ONYX-127,2024-09-11 21:00:00,2,Search and Rescue,Urban,48868446.32,FC7946,Brazil,São Paulo,-19.545267,144.385488
OP128,OP-ONYX-128,2024-09-13 06:00:00,6,Sneak,Swamp,8452389.23,FC7428,Singapore,Singapore,-40.371042,-0.447205
OP129,OP-PHOENIX-129,2024-09-15 09:00:00,4,Sneak,Tundra,11411094.36,FC3731,India,Lucknow,-63.399468,-152.371841
OP130,OP-PHOENIX-130,2024-09-17 06:00:00,4,Search and Rescue,Jungle,33968318.52,FC7196,Sri Lanka,Kandy,0.377988,-44.302499
OP131,OP-EMBER-131,2024-09-19 14:00:00,6,Reinforcements,Rainforest,48123038.69,FC5497,Finland,Tampere,-68.087199,81.498918
OP132,OP-ONYX-132,2024-09-21 11:00:00,8,Reinforcements,Urban,24442971.53,FC5995,Turkey,Izmir,34.027833,-166.634848
OP133,OP-ONYX-133,2024-09-23 06:00:00,5,Sneak,Jungle,15690221.45,FC9810,Vietnam,Da Nang,14.889702,-19.284024
OP134,OP-IRON-134,2024-09-25 12:00:00,1,Reinforcements,Mountain,16502907.48,FC3987,Singapore,Singapore,-9.902788,129.503354
OP135,OP-ONYX-135,2024-09-27 21:00:00,4,Defend Perimeter,Marine,47300435.85,FC1511,Sri Lanka,Colombo,73.322535,-105.748283
OP136,OP-PHOENIX-136,2024-09-29 09:00:00,5,Reinforcements,Marine,47693117.24,FC8106,China,Guangzhou,-2.584536,-32.546705
OP137,OP-STEEL-137,2024-10-01 16:00:00,10,Exfiltration,Marine,22067703.0,FC3325,Kenya,Kisumu,15.162837,-27.162084
OP138,OP-PHOENIX-138,2024-10-03 09:00:00,7,Escort,Marine,15493604.73,FC9905,Germany,Hamburg,-36.692384,-2.150284
OP139,OP-ONYX-139,2024-10-05 07:00:00,4,Defend Perimeter,Mountain,41419785.98,FC8793,UAE,Abu Dhabi,40.573949,-92.33661
OP140,OP-PHOENIX-140,2024-10-07 14:00:00,5,Infiltration,Low Altitude,36627558.44,FC5362,Sweden,Malmö,78.749752,-53.301845
OP141,OP-EMBER-141,2024-10-09 08:00:00,3,Reinforcements,Low Altitude,18934053.11,FC2329,Japan,Fukuoka,72.969195,-146.111254
OP142,OP-STEEL-142,2024-10-11 16:00:00,10,Resupply,Swamp,32003323.38,FC8234,Malaysia,Kuala Lumpur,64.162028,-29.152612
OP143,OP-STEEL-143,2024-10-13 09:00:00,7,Reconnaissance,Swamp,11967877.61,FC4162,UK,Leeds,-50.116311,158.929922
OP144,OP-COPPER-144,2024-10-15 10:00:00,6,Exfiltration,Mountain,46415113.92,FC9236,France,Marseille,8.744719,83.552563
OP145,OP-FALCON-145,2024-10-17 07:00:00,1,Search and Rescue,Urban,32898345.49,FC1639,Italy,Turin,-44.535234,-128.323609
OP146,OP-ONYX-146,2024-10-19 23:00:00,9,Anti Terrorism,Urban,1573672.56,FC8729,Oman,Muscat,12.80459,-9.129799
OP147,OP-PHOENIX-147,2024-10-22 01:00:00,1,Escort,High Altitude,11739706.77,FC9815,Oman,Salalah,-42.679304,-76.786717
OP148,OP-PHOENIX-148,2024-10-23 19:00:00,1,Search and Rescue,Rainforest,17125279.0,FC4622,Brazil,Brasília,-44.948493,14.611358
OP149,OP-IRON-149,2024-10-25 23:00:00,3,Reinforcements,Swamp,35720384.61,FC9663,Japan,Tokyo,27.953237,55.836109
